location,property_area,bed,street,features,bath,toilet,description,price,median_price,Maxi,Min
ajah,abraham-adesanya-estate,2,BesideAbraham Adesanya Estate Ajah Lagos,2 beds 3 baths 3 Toilets,3,3,2BEDROOM FLAT,1200000.0,1000000.0,1200000.0,750000.0
ajah,abraham-adesanya-estate,2,LBSAbraham Adesanya Estate Ajah Lagos,2 beds 2 baths 3 Toilets,2,3,NEWLY BUILT 2BEDROOM FLAT,1200000.0,1000000.0,1200000.0,750000.0
ajah,abraham-adesanya-estate,2,Alasia Abraham Adesanya Estate Ajah Lagos,2 beds 2 baths 3 Toilets,2,3,2BEDROOM FLAT,1100000.0,1000000.0,1200000.0,750000.0
ajah,abraham-adesanya-estate,2,Abraham Adesanya estateAbraham Adesanya Estate Ajah Lagos,2 beds 3 baths 3 Toilets,3,3,NEWLY BUILT TWO BEDROOM FLAT,1000000.0,1000000.0,1200000.0,750000.0
ajah,abraham-adesanya-estate,2,Abraham Adesanya Estate Ajah Lagos,2 beds 2 baths 3 Toilets,2,3,LOVELY SPACIOUS 2BEDROOM FLAT,1200000.0,1000000.0,1200000.0,750000.0
ajah,abraham-adesanya-estate,2,Lekki scheme 2Abraham Adesanya Estate Ajah Lagos,2 beds 2 baths 2 Toilets,2,2,WELL MAINTAINED 2 BEDROOM FLAT,900000.0,1000000.0,1200000.0,750000.0
ajah,abraham-adesanya-estate,2,Abraham Adesanya Estate Ajah Lagos,2 beds 2 baths 3 Toilets,2,3,SWEETLY BUILT 2 BEDROOMS FLAT,750000.0,1000000.0,1200000.0,750000.0
ajah,abraham-adesanya-estate,2,Abraham Adesanya Estate Ajah Lagos,2 beds 2 baths 2 Toilets,2,2,"NEWLY BUILT EXECUTIVE 2 BEDROOMS FLAT @ LEKKI SCHEME II, OFF ABRAHAM ADESANYA, AJAH",1000000.0,1000000.0,1200000.0,750000.0
ajah,abraham-adesanya-estate,2,Thomas EstateAbraham Adesanya Estate Ajah Lagos,2 beds 2 baths 3 Toilets,2,3,ENSUITE 2 BEDROOM FLAT FOR RENT AT THOMAS ESTSTE AJAH LK309,1000000.0,1000000.0,1200000.0,750000.0
ajah,abraham-adesanya-estate,2,Abraham Adesanya Estate Ajah Lagos,2 beds 2 baths 2 Toilets,2,2,2BEDROOM APARTMENT RENT,1200000.0,1000000.0,1200000.0,750000.0
ajah,abraham-adesanya-estate,2,Abraham Adesanya Estate Ajah Lagos,2 beds 3 baths 3 Toilets,3,3,BRAND NEW LOVELY 2BEDROOM FLAT WITH EXCELLENT FACILITIES,1200000.0,1000000.0,1200000.0,750000.0
ajah,abraham-adesanya-estate,2,Abraham Adesanya Estate Ajah Lagos,2 beds 2 baths 3 Toilets,2,3,NICE 2 BEDROOM,1000000.0,1000000.0,1200000.0,750000.0
ajah,abraham-adesanya-estate,2,AdesanyaAbraham Adesanya Estate Ajah Lagos,2 beds 2 baths 2 Toilets,2,2,A LOVELY 2 BEDROOM WITH PARKING SPACE FOR LEASE,1000000.0,1000000.0,1200000.0,750000.0
